Part Name,Color,Quantity,Part ID,Color Code
"Technic Beam  4 x  0.5 Liftarm","Black",16,32449.dat,0
"~Moved to 32532a","Black",1,32532.dat,0
"Plate  1 x  4 with Plate  1 x  4 at 45 Degrees","Reddish Brown",8,15706.dat,70
"Tile  1 x  1 with Clip (Thick C-Clip)","Reddish Brown",7,15712.dat,70
"Plate  1 x  2 with Handles on Opposite Ends","Black",11,18649.dat,0
"Arch  1 x  3 x  2 Inverted","Reddish Brown",12,18653.dat,70
"Bracket  3 x  2 x  1.333","Dark Bluish Grey",2,18671.dat,72
"Plate  2 x  2 Round with  1 Centre Stud","Reddish Brown",1,18674.dat,70
"Plate  2 x  2 Round with  1 Centre Stud","Dark Bluish Grey",1,18674.dat,72
"Minifig Tool Scissors","Pearl Silver",1,18920.dat,179
"Plant Flower Stem with Bar and  6 Stems","Green",1,19119.dat,2
"Tile  1 x  1 Round with Pin and Pin Hole","White",2,20482.dat,15
"Tile  1 x  1 Round with Pin and Pin Hole","Reddish Brown",13,20482.dat,70
"Tile  1 x  1 Round with Pin and Pin Hole","Trans Clear",1,20482.dat,47
"Tile  1 x  1 Round with Pin and Pin Hole","Pearl Gold",1,20482.dat,297
"Turntable Flat Base  4 x  4","Light Bluish Grey",1,61485.dat,71
"Plant Flower with  7 Alternate Petals with Bar and Pin Hole","Red",1,32606.dat,4
"Plant Flower with  7 Alternate Petals with Bar and Pin Hole","Bright Light Orange",3,32606.dat,191
"Plate  1 x  1 Round with  3 Leaves","Green",3,32607.dat,2
"Plate  1 x  1 Round with  3 Leaves","Bright Green",4,32607.dat,10
"Plate  1 x  1 Round with Bar","Black",27,32828.dat,0
"Slope Brick 33  3 x  2","Dark Blue",6,3298.dat,272
"Minifig Food Apple","Bright Green",1,33051.dat,10
"Minifig Food Carrot","Orange",1,33172.dat,25
"Minifig Food Carrot Top","Bright Green",43,33183.dat,10
"Minifig Food Carrot Top","Reddish Brown",9,33183.dat,70
"Plate  2 x  2 with 2 Studs on One Edge","Red",2,33909.dat,4
"Plate  2 x  2 with 2 Studs on One Edge","Reddish Brown",9,33909.dat,70
"Plate  1 x  3 with  2 Studs Offset","White",1,34103.dat,15
"Plate  1 x  3 with  2 Studs Offset","Reddish Brown",7,34103.dat,70
